pdl,nom,roof_m2,potential,Nom delta conso
NA,ENSEMBLE SPORTIF BENOIT FRACHON/GYMNASE DENISE MEUNIER (EX BENOIT FRACHON),1565,,
19303473162945,ENSEMBLE SPORTIF BENOIT FRACHON/STADE BENOIT FRACHON - TRIBUNES STADE,343,,
,ENSEMBLE SPORTIF BENOIT FRACHON/STADE BENOIT FRACHON - TRIBUNES STADE/LOCAUX TECHNIQUES SERVICE SPORTS,,Pas de potentiel,
,ENSEMBLE SPORTIF BENOIT FRACHON/STADE BENOIT FRACHON - TRIBUNES STADE/SIEGE ESSM FOOTBALL,,Pas de potentiel,
,ENSEMBLE SPORTIF BENOIT FRACHON/STADE BENOIT FRACHON - TRIBUNES STADE/VESTIAIRES/SANITAIRES PUBLICS/TRIBUNES,,Pas de potentiel,
NA,ENSEMBLE SPORTIF COLETTE BESSON/GYMNASE COLETTE BESSON,2214,Potentiel élevé,
,ENSEMBLE SPORTIF COLETTE BESSON/GYMNASE COLETTE BESSON/CHAUFFERIE/SOUS STATION CHAUFFAGE,,Pas de potentiel,
30001931292730,ENSEMBLE SPORTIF EDMOND INEBRIA/ESPACE SPORTIF EDMOND INEBRIA,760,Neutre,
,ENSEMBLE SPORTIF EDMOND INEBRIA/ESPACE SPORTIF EDMOND INEBRIA/CHAUFFERIE,,Pas de potentiel,
30001930587138,ENSEMBLE SPORTIF HENRI MAURICE/GYMNASE HENRI MAURICE,540,Pas de potentiel,
,ENSEMBLE SPORTIF HENRI MAURICE/GYMNASE HENRI MAURICE/CHAUFFERIE,,Pas de potentiel,
30001934083411,ENSEMBLE SPORTIF JEAN-PIERRE BOY/GYMNASE JEAN-PIERRE BOY,2101,Potentiel élevé,
,ENSEMBLE SPORTIF JEAN-PIERRE BOY/GYMNASE JEAN-PIERRE BOY/CHAUFFERIE,,Pas de potentiel,
30001931320652,ENSEMBLE SPORTIF PABLO NERUDA/GYMNASE HALLE DES SPORTS,2178,Potentiel élevé,
,ENSEMBLE SPORTIF PABLO NERUDA/GYMNASE HALLE DES SPORTS/CHAUFFERIE,,Pas de potentiel,
,ENSEMBLE SPORTIF PABLO NERUDA/GYMNASE HALLE DES SPORTS/STADE JUST FONTAINE - BUVETTE/SANITAIRES PUBLICS/VESTIAIRES,,Pas de potentiel,
30001931320652,ENSEMBLE SPORTIF PABLO NERUDA/LOCAL ASSOCIATIONS SPORTIVES JUST FONTAINE,0,Pas de potentiel,
19352677235839,ENSEMBLE SPORTIF PAUL LANGEVIN/GYMNASE PAUL LANGEVIN,966,Potentiel élevé,
19352677235839,ENSEMBLE SPORTIF PAUL LANGEVIN/GYMNASE PAUL LANGEVIN/CHAUFFERIE,,Pas de potentiel,
19352677235839,ENSEMBLE SPORTIF PAUL LANGEVIN/LOCAUX TECHNIQUES,,Pas de potentiel,
30001931320764,ENSEMBLE SPORTIF ROBERT BARRAN,970,Pas de potentiel,
,ENSEMBLE SPORTIF ROBERT BARRAN/LOGEMENT ROBERT BARRAN - APPARTEMENT T4 (1 LOCATAIRE),,Pas de potentiel,
,ENSEMBLE SPORTIF ROBERT BARRAN/ SALLE ROBERT BARRAN,,Pas de potentiel,
30001931320764,ENSEMBLE SPORTIF ROBERT BARRAN/SERVICE SPORTS GALOCHERE (REBOUL)/CONTENEUR DE STOCKAGE,0,Pas de potentiel,
,ENSEMBLE SPORTIF ROBERT BARRAN/SERVICE SPORTS GALOCHERE (REBOUL)/ATELIERS/GARAGES,,Pas de potentiel,
,ENSEMBLE SPORTIF ROBERT BARRAN/SERVICE SPORTS GALOCHERE (REBOUL)/BUREAUX/VESTIAIRES,,Pas de potentiel,
,ENSEMBLE SPORTIF ROBERT BARRAN/SERVICE SPORTS GALOCHERE (REBOUL)/CHAUFFERIE,,Pas de potentiel,
30001931320764,ENSEMBLE SPORTIF ROBERT BARRAN/SERVICE SPORTS GALOCHERE (REBOUL)/MODULAIRE (ESPACE REPAS/VESTIAIRES),0,Pas de potentiel,
30001931320764,ENSEMBLE SPORTIF ROBERT BARRAN/STADE ROBERT BARRAN - LOCAUX SPORTIFS/TRIBUNES/LOCAL DE RANGEMENTS,0,Pas de potentiel,
,ENSEMBLE SPORTIF ROBERT BARRAN/STADE ROBERT BARRAN - LOCAUX SPORTIFS/CHAUFFERIE/SOUS STATION CHAUFFAGE,,Pas de potentiel,
,ENSEMBLE SPORTIF ROBERT BARRAN/STADE ROBERT BARRAN - LOCAUX SPORTIFS/LOCAUX ESSM RUGBY/VESTIAIRES/DOUCHES,,Pas de potentiel,
NA,ENSEMBLE SPORTIF VICTOR HUGO/MODULAIRE VICTOR HUGO (ASSOCIATION TUNISIENS),0,Pas de potentiel,
19368740937579,ENSEMBLE SPORTIF VICTOR HUGO/STADE VICTOR HUGO - LOCAUX (BUVETTE/LOCAL TECHNIQUE/VESTIAIRES),0,Pas de potentiel,
NA,ENSEMBLE SPORTIF VOLTAIRE/GYMNASE VOLTAIRE,1396,Potentiel élevé,
